Image Size,Timesteps,Channels,Location,Mvis,Mvis/h,Mvis/kWh,Mvis/kgCO2,Mvis/$,Power (W),Time (s),Energy (Wh),Dynamic Energy (Wh),Static Energy (Wh),Dynamic Power (%),Static Power (%),Operational Carbon (%),Embodied Carbon (%),Total Carbon (g CO2),Operational Cost (%),Capital Cost (%),Total Cost ($),operational_carbon,embodied_carbon,operational_cost,capital_cost
32768,1,1,SA,0.13,5.91,22.15,30.94,8.07,267.03,79.62,5.91,1.0319444444444446,4.873910101250002,17.5,82.5,93.9,6.1,4.23,6.9,93.1,0.02,3.9719700000000007,0.25803,0.0013800000000000002,0.018619999999999998
32768,1,1,WA,0.13,5.91,22.15,60.72,7.84,267.03,79.62,5.91,1.0319444444444446,4.873910101250002,17.5,82.5,88.0,12.0,2.15,9.6,90.4,0.02,1.892,0.25799999999999995,0.00192,0.01808
32768,8,1,SA,1.05,40.76,150.09,209.89,55.56,271.58,92.43,6.97,1.3146777777777776,5.658069714375002,18.9,81.1,94.0,6.0,4.99,7.0,93.0,0.02,4.6906,0.2994,0.0014000000000000002,0.018600000000000002
32768,8,1,WA,1.05,40.76,150.09,412.23,53.96,271.58,92.43,6.97,1.3146777777777776,5.658069714375002,18.9,81.1,88.2,11.8,2.54,9.7,90.3,0.02,2.2402800000000003,0.29972,0.0019399999999999999,0.01806
32768,64,1,SA,8.37,231.08,857.47,1198.56,315.13,269.49,130.43,9.76,1.7796194444444444,7.984226256041669,18.2,81.8,93.9,6.1,6.99,7.0,93.0,0.03,6.563610000000001,0.42638999999999994,0.0021,0.0279
32768,64,1,WA,8.37,231.08,857.47,2352.98,306.13,269.49,130.43,9.76,1.7796194444444444,7.984226256041669,18.2,81.8,88.1,11.9,3.56,9.6,90.4,0.03,3.13636,0.42364,0.0028799999999999997,0.027120000000000002
32768,128,1,SA,16.74,279.11,1044.0,1458.57,380.84,267.35,215.97,16.04,2.818258333333333,13.220527060625002,17.6,82.4,93.9,6.1,11.48,6.9,93.1,0.04,10.779720000000003,0.7002799999999999,0.0027600000000000003,0.037239999999999995
32768,128,1,WA,16.74,279.11,1044.0,2862.09,370.04,267.35,215.97,16.04,2.818258333333333,13.220527060625002,17.6,82.4,88.0,12.0,5.85,9.6,90.4,0.05,5.148,0.7019999999999998,0.0048,0.045200000000000004
32768,256,1,SA,33.49,391.82,1490.37,2080.04,535.25,262.9,307.69,22.47,3.635083333333333,18.83513437645834,16.2,83.8,93.8,6.2,16.1,6.8,93.2,0.06,15.1018,0.9982000000000001,0.004079999999999999,0.05592
32768,256,1,WA,33.49,391.82,1490.37,4077.52,520.3,262.9,307.69,22.47,3.635083333333333,18.83513437645834,16.2,83.8,87.8,12.2,8.21,9.4,90.6,0.06,7.208380000000001,1.00162,0.005639999999999999,0.05435999999999999
32768,1,8,SA,1.05,47.73,178.07,248.82,65.11,268.02,78.94,5.88,1.0448222222222223,4.832284142083335,17.8,82.2,93.9,6.1,4.21,6.9,93.1,0.02,3.95319,0.25681,0.0013800000000000002,0.018619999999999998
