image_size,timesteps,channels,gridder_s,sub_fft_s,wtiling_s,known_kernel_s,wall_s,n_runs,input_disk_gib,output_gib,total_disk_gib,other_wsclean_s
4096,1,1,0.008466,0.0011928,0.11508,0.1247388,33.53,1,0.0009746551513671,0.0625,0.0634746551513671,33.4052612
4096,1,8,0.008472,0.0,0.096196,0.10466800000000001,34.31,1,0.0077972412109375,0.0625,0.0702972412109375,34.205332000000006
4096,1,64,0.008476,0.0,0.091111,0.099587,38.36,1,0.0623779296875,0.0625,0.1248779296875,38.260413
4096,1,128,0.011643,0.0,0.090947,0.10259,43.21,1,0.124755859375,0.0625,0.187255859375,43.10741
4096,1,256,0.019043,0.0,0.10364,0.122683,52.06,1,0.24951171875,0.0625,0.31201171875,51.937317
4096,8,1,0.033926,0.0041341,0.11862199999999999,0.1566821,43.24,1,0.0077972412109375,0.0625,0.0702972412109375,43.083317900000004
4096,8,8,0.03605,0.004355,0.10175999999999999,0.14216499999999999,43.57,1,0.0623779296875,0.0625,0.1248779296875,43.427835
4096,8,64,0.051886,0.0042012,0.114258,0.1703452,72.94,1,0.4990234375,0.0625,0.5615234375,72.7696548
4096,8,128,0.079318,0.0027511,0.145714,0.22778310000000002,107.95,1,0.998046875,0.0625,1.060546875,107.7222169
4096,8,256,0.138374,0.00371,0.20182899999999998,0.34391299999999997,173.06,1,1.99609375,0.0625,2.05859375,172.71608700000002
4096,64,1,0.0613359,0.005837,0.13782799999999998,0.20500089999999999,87.42,1,0.0623779296875,0.0625,0.1248779296875,87.2149991
4096,64,8,0.0782969,0.0069828,0.133943,0.2192227,117.47999999999999,1,0.4990234375,0.0625,0.5615234375,117.26077729999999
4096,64,64,0.28359,0.0061372,0.50728,0.7970071999999999,349.09000000000003,1,3.9921875,0.0625,4.0546875,348.29299280000004
4096,64,128,0.5279039999999999,0.0090092,0.93262,1.4695331999999999,592.76,1,7.984375,0.0625,8.046875,591.2904668
4096,64,256,1.01757,0.009196,1.6948500000000002,2.721616,1123.88,1,15.96875,0.0625,16.03125,1121.158384
4096,128,1,0.068792,0.008168,0.136568,0.213528,137.39,1,0.124755859375,0.0625,0.187255859375,137.176472
4096,128,8,0.108814,0.0082541,0.160074,0.2771421,200.9,1,0.998046875,0.0625,1.060546875,200.6228579
4096,128,64,0.5315089,0.010875099999999999,0.94446,1.486844,665.61,1,7.984375,0.0625,8.046875,664.123156
4096,128,128,1.028079,0.0139951,1.827535,2.8696091,1174.21,1,15.96875,0.0625,16.03125,1171.3403909
4096,128,256,2.00963,0.0154478,3.3625499999999993,5.387627799999999,2228.37,1,31.9375,0.0625,32.0,2222.9823722
4096,256,1,0.08174100000000001,0.0073008000000000005,0.143747,0.23278880000000002,241.87,1,0.24951171875,0.0625,0.31201171875,241.6372112
4096,256,8,0.17461000000000002,0.007331099999999999,0.3179,0.49984110000000004,378.0,1,1.99609375,0.0625,2.05859375,377.5001589
4096,256,64,1.033029,0.0095856,1.8630300000000002,2.9056446000000005,1286.96,1,15.96875,0.0625,16.03125,1284.0543554
4096,256,128,2.0285539999999997,0.0115592,3.5402299999999998,5.5803432,2268.79,1,31.9375,0.0625,32.0,2263.2096568
4096,256,256,3.9972100000000004,0.0172615,6.696880000000001,10.711351500000001,4493.0,1,63.875,0.0625,63.9375,4482.2886485
8192,1,1,0.010599,0.0,0.11751,0.128109,34.97,1,0.0009746551513671,0.25,0.2509746551513672,34.841891
8192,1,8,0.011605,0.001009,0.099355,0.111969,35.22,1,0.0077972412109375,0.25,0.2577972412109375,35.108031
8192,1,64,0.010627,0.0013101,0.09327,0.1052071,38.86,1,0.0623779296875,0.25,0.3123779296875,38.7547929
8192,1,128,0.014823,0.001461,0.0953,0.11158399999999999,43.89,1,0.124755859375,0.25,0.374755859375,43.778416
8192,1,256,0.023291,0.001265,0.1091,0.133656,52.88,1,0.24951171875,0.25,0.49951171875,52.746344
8192,8,1,0.048704,0.0059533,0.133695,0.1883523,42.01,1,0.0077972412109375,0.25,0.2577972412109375,41.8216477
8192,8,8,0.051857,0.0070842,0.116472,0.1754132,45.62,1,0.0623779296875,0.25,0.3123779296875,45.444586799999996
8192,8,64,0.067577,0.0065829,0.130135,0.2042949,72.78,1,0.4990234375,0.25,0.7490234375,72.57570510000001
8192,8,128,0.102383,0.0067978,0.161503,0.27068380000000003,108.46000000000001,1,0.998046875,0.25,1.248046875,108.18931620000001
8192,8,256,0.176362,0.0057109,0.23875,0.4208229,167.64,1,1.99609375,0.25,2.24609375,167.2191771
8192,64,1,0.113078,0.0143296,0.171483,0.2988906,87.58,1,0.0623779296875,0.25,0.3123779296875,87.28110939999999
8192,64,8,0.134083,0.0123448,0.188065,0.33449280000000003,119.96000000000001,1,0.4990234375,0.25,0.7490234375,119.6255072
8192,64,64,0.372321,0.0159799,0.568333,0.9566338999999999,335.11,1,3.9921875,0.25,4.2421875,334.1533661
8192,64,128,0.674456,0.0160138,1.035644,1.7261138,588.26,1,7.984375,0.25,8.234375,586.5338862
8192,64,256,1.2944330000000004,0.016778900000000003,1.9355419999999999,3.2467539000000003,1078.63,1,15.96875,0.25,16.21875,1075.3832461000002
8192,128,1,0.136567,0.016778,0.195757,0.349102,139.28,1,0.124755859375,0.25,0.374755859375,138.930898
8192,128,8,0.178864,0.015922,0.233838,0.428624,200.24,1,0.998046875,0.25,1.248046875,199.811376
8192,128,64,0.6885679999999998,0.0139377,0.8625061,1.5650118,639.84,1,7.984375,0.25,8.234375,638.2749882
8192,128,128,1.302435,0.0183683,2.063369,3.3841722999999995,1141.16,1,15.96875,0.25,16.21875,1137.7758277
8192,128,256,2.5385000000000004,0.029355399999999997,3.65815,6.2260054,2119.09,1,31.9375,0.25,32.1875,2112.8639946000003
