threads,elapsed_s,arithmetic_intensity_flop_per_byte,throughput_gflops,bandwidth_gbs,profiler_utilization_pct,walltime_speedup_vs_base,walltime_parallel_efficiency_pct,dp_peak_fraction_pct,dram_bw_fraction_pct,series,speedup,host_utilization_pct
1,11689.668,45.7854,55.0707,1.2028,1.9748,1.0,100.0,1.991113678961496,0.1305121527777777,CPU roofline,,
16,4148.303,43.8069,332.118,7.5814,11.5206,2.8179397695877086,17.61212355992318,12.007922412995187,0.8226345486111111,CPU roofline,,
32,4149.121,45.6456,388.8594,8.5191,13.9036,2.8173842122222994,8.804325663194685,14.059441237041836,0.9243815104166666,CPU roofline,,
64,4147.035,46.7888,418.8391,8.9517,18.0618,2.818801384603699,4.40437716344328,15.143374994215105,0.9713216145833334,CPU roofline,,
1,11590.0,,,,,,,,,CPU-only execution,1.0,1.9748
16,4108.0,,,,,,,,,CPU-only execution,2.8213242453748784,11.5206
32,4090.0,,,,,,,,,CPU-only execution,2.8337408312958434,13.9036
64,4086.0,,,,,,,,,CPU-only execution,2.836514929025942,18.0618
1,4167.0,0.05560415919684474,0.3877,6.9725,,,,,,GPU-accelerated execution,1.0,2.0872
16,4197.0,0.05246917850866876,0.3792,7.2271,,,,,,GPU-accelerated execution,0.9928520371694067,2.5937
32,4154.0,0.051931577935806265,0.4053,7.8045,,,,,,GPU-accelerated execution,1.003129513721714,2.1071
64,4125.0,0.05150730534492325,0.3899,7.5698,,,,,,GPU-accelerated execution,1.0101818181818183,2.2229
