threads,source,kind,arithmetic_intensity_flop_per_byte,throughput_gflops,bandwidth_gbs,elapsed_s,compute_peak_fraction_pct,dram_bw_fraction_pct,gb_per_joule_median,mib_per_joule_median,sample_count
1,CPU application,cpu-application,45.7854,55.0707,1.2028,11689.668,0.9955568394807479,0.1305121527777777,,,
16,CPU application,cpu-application,43.8069,332.118,7.5814,4148.303,6.003961206497594,0.8226345486111111,,,
32,CPU application,cpu-application,45.6456,388.8594,8.5191,4149.121,7.029720618520918,0.9243815104166666,,,
64,CPU application,cpu-application,46.7888,418.8391,8.9517,4147.035,7.571687497107552,0.9713216145833334,,,
1,GPU kernel,gridder,164.59187728994596,26504.23,161.03,0.091859,97.49363633688424,1.8506557686030958,0.4529039516242442,463.77364646322604,64.0
16,GPU kernel,gridder,165.6985556180829,26500.17,159.93,0.09200549999999999,97.47870195986111,1.8380138922728255,0.4636122505181685,474.73894453060456,64.0
32,GPU kernel,gridder,166.11937819287303,26501.855,159.535,0.0919195,97.4849000941675,1.833474309408774,0.4751883954368093,486.5929169272927,64.0
64,GPU kernel,gridder,164.9639743430066,26489.915,160.57999999999998,0.092002,97.44097978341476,1.8454840919225304,0.4577210860115441,468.70639207582116,64.0
1,GPU kernel,sub-fft,2.5,14198.15,5679.26,0.0019795,52.22673032782061,65.26954778859105,12.841886284751665,13150.091555585705,32.0
16,GPU kernel,sub-fft,2.4999980240450013,15815.125,6326.055,0.00178645,58.17464025072098,72.70291360771569,14.15414820781313,14493.847764800645,32.0
32,GPU kernel,sub-fft,2.499999574472069,14687.635,5875.055,0.0019295,54.02726075569419,67.51974431230491,13.106355686431982,13420.90822290635,32.0
64,GPU kernel,sub-fft,2.4999979295774764,15093.525,6037.415,0.0018939999999999999,55.52029383202873,69.38568525865279,13.561891391026002,13887.376784410626,32.0
