image_size,timesteps,channels,host_joules_total,device_joules_total,host_event_count,device_event_count,n_runs,input_disk_gib,output_gib,total_gib,host_gib_per_j,device_gib_per_j
4096,1,1,28.1,19.11,1.0,1.0,1,0.0009746551513671,0.0625,0.0634746551513671,0.0022588845249596834,0.0033215413475336003
4096,1,8,23.37,16.36,1.0,1.0,1,0.0077972412109375,0.0625,0.0702972412109375,0.0030080120329883395,0.004296897384531632
4096,1,64,22.33,15.37,1.0,1.0,1,0.0623779296875,0.0625,0.1248779296875,0.005592383774630542,0.008124783974463241
4096,1,128,22.32,15.38,1.0,1.0,1,0.124755859375,0.0625,0.187255859375,0.0083895994343638,0.012175283444408321
4096,1,256,25.18,17.13,1.0,1.0,1,0.24951171875,0.0625,0.31201171875,0.012391251737490071,0.018214344352014012
4096,8,1,29.9,20.5,1.0,1.0,1,0.0077972412109375,0.0625,0.0702972412109375,0.0023510783013691475,0.003429133717606707
4096,8,8,25.59,17.07,1.0,1.0,1,0.0623779296875,0.0625,0.1248779296875,0.004879950359026964,0.007315637357205623
4096,8,64,28.04,21.97,1.0,1.0,1,0.4990234375,0.0625,0.5615234375,0.02002580019614836,0.025558645311788804
4096,8,128,35.28,23.99,1.0,1.0,1,0.998046875,0.0625,1.060546875,0.030060852465986394,0.044207873072113386
4096,8,256,48.49,54.71,1.0,1.0,1,1.99609375,0.0625,2.05859375,0.04245398535780573,0.03762737616523487
4096,64,1,34.08,27.44,1.0,1.0,1,0.0623779296875,0.0625,0.1248779296875,0.0036642585002200708,0.004550944959456997
4096,64,8,33.26,22.51,1.0,1.0,1,0.4990234375,0.0625,0.5615234375,0.016882845384846662,0.02494551032874278
4096,64,64,123.78,104.72,3.0,3.0,1,3.9921875,0.0625,4.0546875,0.03275721037324285,0.03871932295645531
4096,64,128,228.57999999999998,181.68,5.0,5.0,1,7.984375,0.0625,8.046875,0.0352037579840756,0.04429147402025539
4096,64,256,413.99,325.97,8.0,8.0,1,15.96875,0.0625,16.03125,0.038723761443513124,0.049180139276620544
4096,128,1,33.95,24.53,1.0,1.0,1,0.124755859375,0.0625,0.187255859375,0.005515636505891016,0.007633748853444761
