image_size,timesteps,channels,idg_stage_gb_total,gridder_gb_total,subfft_gb_total,host_joules_total,device_joules_total,host_gb_per_j,device_gb_per_j,host_event_count,device_event_count,gridder_event_count,subfft_event_count,n_runs
4096,1,1,15.285163751999999,9.32123532,5.9639284319999994,28.1,19.11,0.5439560054092526,0.7998515830455258,1.0,1.0,1.0,1.0,1
4096,1,8,15.295141819200001,9.33131496,5.9638268592,23.37,16.36,0.6544776131450578,0.9349108691442544,1.0,1.0,1.0,1.0,1
4096,1,64,15.375726844399999,9.412258959999999,5.9634678844,22.33,15.37,0.6885681524585759,1.0003725988549121,1.0,1.0,1.0,1.0,1
4096,1,128,15.468547997600002,9.50511234,5.963435657600001,22.32,15.38,0.6930353045519714,1.0057573470481145,1.0,1.0,1.0,1.0,1
4096,1,256,15.653918218999998,9.6909827,5.962935518999999,25.18,17.13,0.6216806282366957,0.9138306023934617,1.0,1.0,1.0,1.0,1
4096,8,1,61.793051932,37.686697099999996,24.106354832,29.9,20.5,2.066657255250836,3.014295216195122,1.0,1.0,1.0,1.0,1
4096,8,8,61.89357530000001,37.779679,24.113896300000004,25.59,17.07,2.4186625752246975,3.625868500292912,1.0,1.0,1.0,1.0,1
4096,8,64,62.68738450000001,38.51809096,24.16929354,28.04,21.97,2.235641387303852,2.853317455621302,1.0,1.0,1.0,1.0,1
4096,8,128,63.583660636000005,39.35521206,24.228448576,35.28,23.99,1.8022579545351474,2.650423536306795,1.0,1.0,1.0,1.0,1
4096,8,256,65.3735288,41.028286200000004,24.345242600000002,48.49,54.71,1.3481857867601568,1.1949100493511242,1.0,1.0,1.0,1.0,1
4096,64,1,107.04603906899999,65.33572056,41.710318509,34.08,27.44,3.141022273151408,3.9010947182580167,1.0,1.0,1.0,1.0,1
4096,64,8,107.969823688,66.1531353,41.816688388,33.26,22.51,3.246236430787733,4.796527040781875,1.0,1.0,1.0,1.0,1
4096,64,64,133.447052166,83.72315947999999,49.723892686,123.78,104.72,1.0780986602520601,1.2743224996753246,3.0,3.0,3.0,3.0,1
4096,64,128,159.25949568,101.78805616,57.47143952,228.57999999999998,181.68,0.6967341660687724,0.8765934372523116,5.0,5.0,5.0,5.0,1
4096,64,256,204.8209130506,134.2189351,70.6019779506,413.99,325.97,0.4947484553989227,0.6283428323176979,8.0,8.0,8.0,8.0,1
4096,128,1,113.92020808000001,69.59067512,44.32953296,33.95,24.53,3.355528956701031,4.644117736649001,1.0,1.0,1.0,1.0,1
4096,128,8,115.271802382,70.922358,44.34944438200001,39.62,37.16,2.9094346890964164,3.102039891872982,1.0,1.0,1.0,1.0,1
4096,128,64,164.8131074,105.20247528000002,59.61063212,229.74,166.45000000000002,0.7173896900844433,0.9901658600180234,5.0,5.0,5.0,5.0,1
4096,128,128,237.621964235,154.24923684,83.37272739499998,447.0,376.64,0.5315927611521253,0.6308994377522303,10.0,10.0,10.0,10.0,1
4096,128,256,337.90679188319996,224.6997577,113.2070341832,815.6700000000001,671.81,0.41426899589687,0.5029796994435927,16.0,16.0,16.0,16.0,1
4096,256,1,115.32264460299999,70.57272717,44.749917433,34.98,33.33,3.2968165981417954,3.460025340624062,1.0,1.0,1.0,1.0,1
4096,256,8,130.502797272,80.8474402,49.655357072,77.92,81.75,1.6748305604722793,1.5963644926238534,2.0,2.0,2.0,2.0,1
4096,256,64,239.7562247816,155.60501398,84.15121080159999,452.63,373.32000000000005,0.5296958327587654,0.6422271102046501,10.0,10.0,10.0,10.0,1
4096,256,128,382.70719799500006,252.07244110000005,130.634756895,867.5400000000001,669.4399999999999,0.4411406943714411,0.5716825973873687,19.0,19.0,19.0,19.0,1
4096,256,256,624.6705762454001,418.2128246,206.45775164540004,1631.3600000000001,1307.3600000000001,0.38291399583500885,0.4778106843144964,32.0,32.0,32.0,32.0,1
8192,1,1,18.9257466408,11.541251100000002,7.3844955408,28.91,19.62,0.6546436057004497,0.9646150173700305,1.0,1.0,1.0,1.0,1
8192,1,8,18.93830953,11.553821950000001,7.384487579999999,24.25,16.42,0.7809612177319588,1.1533684244823386,1.0,1.0,1.0,1.0,1
8192,1,64,19.037293262,11.653674469999999,7.383618792,22.86,15.65,0.8327774830271216,1.216440464025559,1.0,1.0,1.0,1.0,1
8192,1,128,19.15099923,11.768127929999999,7.382871300000001,23.55,15.71,0.8132059121019108,1.2190324143857414,1.0,1.0,1.0,1.0,1
8192,1,256,19.38198953,11.999057379999998,7.382932150000001,26.55,18.33,0.7300184380414312,1.0573916819421714,1.0,1.0,1.0,1.0,1
8192,8,1,91.021412545,55.51087104,35.510541505,33.55,22.82,2.713007825484352,3.9886683849693254,1.0,1.0,1.0,1.0,1
