Image size,Timesteps,Channels,Visibilities,Rows,Pixels,Mvis,Input on-disk est. bytes,Output bytes,Input + Output bytes,Input on-disk est. (GiB),Output (GiB),Input + Output (GiB),idg_stage_gb_total,gridder_gb_total,subfft_gb_total,host_joules_total,device_joules_total,host_gb_per_j,device_gb_per_j,host_event_count,device_event_count,gridder_event_count,subfft_event_count,n_runs,Input on-disk measured (GiB),Input + Output measured (GiB)
8192,1,1,130816,130816,67108864,0.130816,1046528,268435456,269481984,0.0009746551513671,0.25,0.2509746551513672,18.9257466408,11.541251100000002,7.3844955408,28.91,19.62,0.6546436057004497,0.9646150173700304,1.0,1.0,1.0,1.0,1,0.0126953125,0.2626953125
8192,8,1,1046528,1046528,67108864,1.046528,8372224,268435456,276807680,0.0077972412109375,0.25,0.2577972412109375,91.021412545,55.51087104,35.510541505,33.55,22.82,2.713007825484352,3.9886683849693254,1.0,1.0,1.0,1.0,1,0.0947265625,0.3447265625
8192,64,1,8372224,8372224,67108864,8.372224,66977792,268435456,335413248,0.0623779296875,0.25,0.3123779296875,201.0057775,122.6431756,78.3626019,42.77,29.0,4.6996908463876546,6.931233706896552,1.0,1.0,1.0,1.0,1,0.75390625,1.00390625
8192,128,1,16744448,16744448,67108864,16.744448,133955584,268435456,402391040,0.124755859375,0.25,0.374755859375,231.82412694,141.5151997,90.30892724,48.08,53.7,4.8216332558236275,4.317022848044693,1.0,1.0,1.0,1.0,1,1.6,1.85
8192,256,1,33488896,33488896,67108864,33.488896,267911168,268435456,536346624,0.24951171875,0.25,0.49951171875,248.26804342,151.6977608,96.57028262,54.41,49.62,4.562912027568462,5.003386606610238,1.0,1.0,1.0,1.0,1,3.1,3.35
8192,1,8,1046528,130816,67108864,1.046528,8372224,268435456,276807680,0.0077972412109375,0.25,0.2577972412109375,18.93830953,11.55382195,7.384487579999999,24.25,16.42,0.7809612177319588,1.1533684244823386,1.0,1.0,1.0,1.0,1,0.0400390625,0.2900390625
8192,8,8,8372224,1046528,67108864,8.372224,66977792,268435456,335413248,0.0623779296875,0.25,0.3123779296875,91.140761715,55.622855339999994,35.517906375,28.87,20.06,3.156936671804641,4.54340786216351,1.0,1.0,1.0,1.0,1,0.31640625,0.56640625
8192,64,8,66977792,8372224,67108864,66.977792,535822336,268435456,804257792,0.4990234375,0.25,0.7490234375,202.3242408,123.7612032,78.56303759999999,46.16,43.59,4.38310746967071,4.6415288093599445,1.0,1.0,1.0,1.0,1,2.6,2.85
8192,128,8,133955584,16744448,67108864,133.955584,1071644672,268435456,1340080128,0.998046875,0.25,1.248046875,233.76332146,143.3258838,90.43743766,57.21,71.22,4.086057008564936,3.2822707309744454,1.0,1.0,1.0,1.0,1,5.1,5.35
8192,256,8,267911168,33488896,67108864,267.911168,2143289344,268435456,2411724800,1.99609375,0.25,2.24609375,265.356219848,163.37921829,101.977001558,101.98,113.09,2.6020417714061583,2.34641630425325,2.0,2.0,2.0,2.0,1,11.0,11.25
8192,1,64,8372224,130816,67108864,8.372224,66977792,268435456,335413248,0.0623779296875,0.25,0.3123779296875,19.037293262,11.65367447,7.383618792,22.86,15.65,0.8327774830271216,1.216440464025559,1.0,1.0,1.0,1.0,1,0.2626953125,0.5126953125
8192,8,64,66977792,1046528,67108864,66.977792,535822336,268435456,804257792,0.4990234375,0.25,0.7490234375,92.09209514,56.51802395,35.574071190000005,31.67,29.69,2.907865334385854,3.1017883172785448,1.0,1.0,1.0,1.0,1,2.1,2.35
8192,64,64,535822336,8372224,67108864,535.822336,4286578688,268435456,4555014144,3.9921875,0.25,4.2421875,234.50462305999997,145.906884,88.59773906,140.83,141.75,1.6651609959525666,1.6543536018342149,3.0,3.0,3.0,3.0,1,17.0,17.25
8192,128,64,1071644672,16744448,67108864,1071.644672,8573157376,268435456,8841592832,7.984375,0.25,8.234375,292.631369185,184.26501985,108.366349335,256.03000000000003,178.59000000000003,1.1429573455649726,1.638565256649308,5.0,4.0,5.0,5.0,1,34.0,34.25
8192,256,64,2143289344,33488896,67108864,2143.289344,17146314752,268435456,17414750208,15.96875,0.25,16.21875,392.7975657859999,251.17427829999997,141.623287486,515.33,432.3,0.7622253037587564,0.908622636562572,10.0,10.0,10.0,10.0,1,67.0,67.25
8192,1,128,16744448,130816,67108864,16.744448,133955584,268435456,402391040,0.124755859375,0.25,0.374755859375,19.15099923,11.76812793,7.382871300000001,23.55,15.71,0.8132059121019108,1.2190324143857414,1.0,1.0,1.0,1.0,1,0.515625,0.765625
8192,8,128,133955584,1046528,67108864,133.955584,1071644672,268435456,1340080128,0.998046875,0.25,1.248046875,93.167328466,57.5334648,35.633863666,39.09,48.2,2.3834056911230497,1.932932125850623,1.0,1.0,1.0,1.0,1,4.2,4.45
8192,64,128,1071644672,8372224,67108864,1071.644672,8573157376,268435456,8841592832,7.984375,0.25,8.234375,269.079947625,169.87076112,99.20918650499998,257.84999999999997,216.43000000000004,1.0435522498545666,1.2432654790232405,5.0,5.0,5.0,5.0,1,33.0,33.25
8192,128,128,2143289344,16744448,67108864,2143.289344,17146314752,268435456,17414750208,15.96875,0.25,16.21875,378.5782946736,242.43690236,136.1413923136,514.9399999999999,465.0100000000001,0.7351891379065523,0.8141293621074814,10.0,10.0,10.0,10.0,1,66.0,66.25
8192,256,128,4286578688,33488896,67108864,4286.578688,34292629504,268435456,34561064960,31.9375,0.25,32.1875,559.729902009,364.4902802,195.239621809,1013.45,859.0499999999998,0.5523014475395925,0.6515684791444039,19.0,19.0,19.0,19.0,1,132.0,132.25
8192,1,256,33488896,130816,67108864,33.488896,267911168,268435456,536346624,0.24951171875,0.25,0.49951171875,19.38198953,11.999057379999998,7.382932150000001,26.55,18.33,0.7300184380414312,1.0573916819421714,1.0,1.0,1.0,1.0,1,1.1,1.35
8192,8,256,267911168,1046528,67108864,267.911168,2143289344,268435456,2411724800,1.99609375,0.25,2.24609375,95.326370924,59.57088079999999,35.755490124,58.43,75.78,1.6314627917850415,1.257935747215624,1.0,1.0,1.0,1.0,1,8.2,8.45
8192,64,256,2143289344,8372224,67108864,2143.289344,17146314752,268435456,17414750208,15.96875,0.25,16.21875,326.661225476,210.745298,115.915927476,468.55,446.41,0.6971747422388219,0.7317515859322149,8.0,8.0,8.0,8.0,1,66.0,66.25
8192,128,256,4286578688,16744448,67108864,4286.578688,34292629504,268435456,34561064960,31.9375,0.25,32.1875,500.208051505,328.12910569999997,172.078945805,952.33,845.8399999999999,0.5252465547709302,0.5913743160704152,16.0,15.0,16.0,16.0,1,131.0,131.25
