Image size,Timesteps,Channels,Rows,Visibilities,Input payload est. (GiB),Output payload est. (GiB),Total payload est. (GiB),CPU Darshan run time (s),CPU Darshan POSIX transferred (MiB),CPU Darshan POSIX throughput (MiB/s),CPU Darshan STDIO transferred (MiB),CPU Darshan STDIO throughput (MiB/s),CPU Darshan MS read (GiB),CPU Darshan FITS writes (GiB),CPU Darshan named output writes (GiB),CPU Darshan total I/O (GiB),CPU Darshan runs,GPU Darshan run time (s),GPU Darshan POSIX transferred (MiB),GPU Darshan POSIX throughput (MiB/s),GPU Darshan STDIO transferred (MiB),GPU Darshan STDIO throughput (MiB/s),GPU Darshan MS read (GiB),GPU Darshan FITS writes (GiB),GPU Darshan named output writes (GiB),GPU Darshan total I/O (GiB),GPU Darshan runs
4096,1,1,130816,130816,0.0009746551513671875,0.0625,0.06347465515136719,,,,,,,,,,,,,,,,,,,,
4096,1,8,130816,1046528,0.0077972412109375,0.0625,0.0702972412109375,,,,,,,,,,,,,,,,,,,,
4096,1,64,130816,8372224,0.0623779296875,0.0625,0.1248779296875,,,,,,,,,,,,,,,,,,,,
4096,1,128,130816,16744448,0.124755859375,0.0625,0.187255859375,,,,,,,,,,,,,,,,,,,,
4096,1,256,130816,33488896,0.24951171875,0.0625,0.31201171875,,,,,,,,,,,,,,,,,,,,
4096,8,1,1046528,1046528,0.0077972412109375,0.0625,0.0702972412109375,,,,,,,,,,,,,,,,,,,,
4096,8,8,1046528,8372224,0.0623779296875,0.0625,0.1248779296875,,,,,,,,,,,,,,,,,,,,
4096,8,64,1046528,66977792,0.4990234375,0.0625,0.5615234375,,,,,,,,,,,,,,,,,,,,
4096,8,128,1046528,133955584,0.998046875,0.0625,1.060546875,,,,,,,,,,,,,,,,,,,,
4096,8,256,1046528,267911168,1.99609375,0.0625,2.05859375,,,,,,,,,,,,,,,,,,,,
4096,64,1,8372224,8372224,0.0623779296875,0.0625,0.1248779296875,,,,,,,,,,,,,,,,,,,,
4096,64,8,8372224,66977792,0.4990234375,0.0625,0.5615234375,,,,,,,,,,,,,,,,,,,,
4096,64,64,8372224,535822336,3.9921875,0.0625,4.0546875,,,,,,,,,,,,,,,,,,,,
4096,64,128,8372224,1071644672,7.984375,0.0625,8.046875,,,,,,,,,,,,,,,,,,,,
4096,64,256,8372224,2143289344,15.96875,0.0625,16.03125,,,,,,,,,,,,,,,,,,,,
4096,128,1,16744448,16744448,0.124755859375,0.0625,0.187255859375,,,,,,,,,,,,,,,,,,,,
4096,128,8,16744448,133955584,0.998046875,0.0625,1.060546875,,,,,,,,,,,,,,,,,,,,
4096,128,64,16744448,1071644672,7.984375,0.0625,8.046875,,,,,,,,,,,,,,,,,,,,
4096,128,128,16744448,2143289344,15.96875,0.0625,16.03125,,,,,,,,,,,,,,,,,,,,
4096,128,256,16744448,4286578688,31.9375,0.0625,32.0,,,,,,,,,,,,,,,,,,,,
4096,256,1,33488896,33488896,0.24951171875,0.0625,0.31201171875,,,,,,,,,,,,,,,,,,,,
4096,256,8,33488896,267911168,1.99609375,0.0625,2.05859375,,,,,,,,,,,,,,,,,,,,
4096,256,64,33488896,2143289344,15.96875,0.0625,16.03125,,,,,,,,,,,,,,,,,,,,
4096,256,128,33488896,4286578688,31.9375,0.0625,32.0,,,,,,,,,,,,,,,,,,,,
4096,256,256,33488896,8573157376,63.875,0.0625,63.9375,,,,,,,,,,,,,,,,,,,,
8192,1,1,130816,130816,0.0009746551513671875,0.25,0.2509746551513672,,,,,,,,,,,,,,,,,,,,
8192,1,8,130816,1046528,0.0077972412109375,0.25,0.2577972412109375,,,,,,,,,,,,,,,,,,,,
8192,1,64,130816,8372224,0.0623779296875,0.25,0.3123779296875,,,,,,,,,,,,,,,,,,,,
8192,1,128,130816,16744448,0.124755859375,0.25,0.374755859375,,,,,,,,,,,,,,,,,,,,
8192,1,256,130816,33488896,0.24951171875,0.25,0.49951171875,,,,,,,,,,,,,,,,,,,,
8192,8,1,1046528,1046528,0.0077972412109375,0.25,0.2577972412109375,,,,,,,,,,,,,,,,,,,,
8192,8,8,1046528,8372224,0.0623779296875,0.25,0.3123779296875,,,,,,,,,,,,,,,,,,,,
8192,8,64,1046528,66977792,0.4990234375,0.25,0.7490234375,,,,,,,,,,,,,,,,,,,,
8192,8,128,1046528,133955584,0.998046875,0.25,1.248046875,,,,,,,,,,,,,,,,,,,,
8192,8,256,1046528,267911168,1.99609375,0.25,2.24609375,,,,,,,,,,,,,,,,,,,,
8192,64,1,8372224,8372224,0.0623779296875,0.25,0.3123779296875,,,,,,,,,,,,,,,,,,,,
8192,64,8,8372224,66977792,0.4990234375,0.25,0.7490234375,,,,,,,,,,,,,,,,,,,,
8192,64,64,8372224,535822336,3.9921875,0.25,4.2421875,,,,,,,,,,,,,,,,,,,,
8192,64,128,8372224,1071644672,7.984375,0.25,8.234375,,,,,,,,,,,,,,,,,,,,
8192,64,256,8372224,2143289344,15.96875,0.25,16.21875,,,,,,,,,,,,,,,,,,,,
8192,128,1,16744448,16744448,0.124755859375,0.25,0.374755859375,,,,,,,,,,,,,,,,,,,,
8192,128,8,16744448,133955584,0.998046875,0.25,1.248046875,,,,,,,,,,,,,,,,,,,,
8192,128,64,16744448,1071644672,7.984375,0.25,8.234375,,,,,,,,,,,,,,,,,,,,
8192,128,128,16744448,2143289344,15.96875,0.25,16.21875,,,,,,,,,,,,,,,,,,,,
8192,128,256,16744448,4286578688,31.9375,0.25,32.1875,,,,,,,,,,,,,,,,,,,,
8192,256,1,33488896,33488896,0.24951171875,0.25,0.49951171875,,,,,,,,,,,,,,,,,,,,
8192,256,8,33488896,267911168,1.99609375,0.25,2.24609375,,,,,,,,,,,,,,,,,,,,
8192,256,64,33488896,2143289344,15.96875,0.25,16.21875,,,,,,,,,,,,,,,,,,,,
8192,256,128,33488896,4286578688,31.9375,0.25,32.1875,,,,,,,,,,,,,,,,,,,,
8192,256,256,33488896,8573157376,63.875,0.25,64.125,,,,,,,,,,,,,,,,,,,,
16384,1,1,130816,130816,0.0009746551513671875,1.0,1.0009746551513672,,,,,,,,,,,,,,,,,,,,
16384,1,8,130816,1046528,0.0077972412109375,1.0,1.0077972412109375,,,,,,,,,,,,,,,,,,,,
16384,1,64,130816,8372224,0.0623779296875,1.0,1.0623779296875,,,,,,,,,,,,,,,,,,,,
16384,1,128,130816,16744448,0.124755859375,1.0,1.124755859375,,,,,,,,,,,,,,,,,,,,
16384,1,256,130816,33488896,0.24951171875,1.0,1.24951171875,,,,,,,,,,,,,,,,,,,,
16384,8,1,1046528,1046528,0.0077972412109375,1.0,1.0077972412109375,,,,,,,,,,,,,,,,,,,,
16384,8,8,1046528,8372224,0.0623779296875,1.0,1.0623779296875,,,,,,,,,,,,,,,,,,,,
16384,8,64,1046528,66977792,0.4990234375,1.0,1.4990234375,,,,,,,,,,,,,,,,,,,,
16384,8,128,1046528,133955584,0.998046875,1.0,1.998046875,,,,,,,,,,,,,,,,,,,,
16384,8,256,1046528,267911168,1.99609375,1.0,2.99609375,,,,,,,,,,,,,,,,,,,,
16384,64,1,8372224,8372224,0.0623779296875,1.0,1.0623779296875,,,,,,,,,,,,,,,,,,,,
16384,64,8,8372224,66977792,0.4990234375,1.0,1.4990234375,,,,,,,,,,,,,,,,,,,,
16384,64,64,8372224,535822336,3.9921875,1.0,4.9921875,,,,,,,,,,,,,,,,,,,,
