Image size,Timesteps,Channels,Visibilities,Rows,Pixels,Mvis,Input on-disk est. bytes,Output bytes,Input + Output bytes,Input on-disk est. (GiB),Output (GiB),Input + Output (GiB)
4096,1,1,130816,130816,16777216,0.130816,1046528,67108864,68155392,0.0009746551513671875,0.0625,0.06347465515136719
4096,1,8,1046528,130816,16777216,1.046528,8372224,67108864,75481088,0.0077972412109375,0.0625,0.0702972412109375
4096,1,64,8372224,130816,16777216,8.372224,66977792,67108864,134086656,0.0623779296875,0.0625,0.1248779296875
4096,1,128,16744448,130816,16777216,16.744448,133955584,67108864,201064448,0.124755859375,0.0625,0.187255859375
4096,1,256,33488896,130816,16777216,33.488896,267911168,67108864,335020032,0.24951171875,0.0625,0.31201171875
4096,8,1,1046528,1046528,16777216,1.046528,8372224,67108864,75481088,0.0077972412109375,0.0625,0.0702972412109375
4096,8,8,8372224,1046528,16777216,8.372224,66977792,67108864,134086656,0.0623779296875,0.0625,0.1248779296875
4096,8,64,66977792,1046528,16777216,66.977792,535822336,67108864,602931200,0.4990234375,0.0625,0.5615234375
4096,8,128,133955584,1046528,16777216,133.955584,1071644672,67108864,1138753536,0.998046875,0.0625,1.060546875
4096,8,256,267911168,1046528,16777216,267.911168,2143289344,67108864,2210398208,1.99609375,0.0625,2.05859375
4096,64,1,8372224,8372224,16777216,8.372224,66977792,67108864,134086656,0.0623779296875,0.0625,0.1248779296875
4096,64,8,66977792,8372224,16777216,66.977792,535822336,67108864,602931200,0.4990234375,0.0625,0.5615234375
4096,64,64,535822336,8372224,16777216,535.822336,4286578688,67108864,4353687552,3.9921875,0.0625,4.0546875
4096,64,128,1071644672,8372224,16777216,1071.644672,8573157376,67108864,8640266240,7.984375,0.0625,8.046875
4096,64,256,2143289344,8372224,16777216,2143.289344,17146314752,67108864,17213423616,15.96875,0.0625,16.03125
4096,128,1,16744448,16744448,16777216,16.744448,133955584,67108864,201064448,0.124755859375,0.0625,0.187255859375
4096,128,8,133955584,16744448,16777216,133.955584,1071644672,67108864,1138753536,0.998046875,0.0625,1.060546875
4096,128,64,1071644672,16744448,16777216,1071.644672,8573157376,67108864,8640266240,7.984375,0.0625,8.046875
4096,128,128,2143289344,16744448,16777216,2143.289344,17146314752,67108864,17213423616,15.96875,0.0625,16.03125
