image_size,timesteps,channels,gridder_s,sub_fft_s,wtiling_s,known_kernel_s,wall_s,wall_s_mean,wall_s_std,throughput_mvis_s_mean,throughput_mvis_s_std,gpu_sm_util_mean_pct,gpu_sm_util_peak_pct,gpu_mem_util_mean_pct,gpu_mem_util_peak_pct,gpu_mem_used_sum_mb_peak,gpu_sm_util_active_mean_pct,gpu_mem_util_active_mean_pct,gpu_mem_used_sum_mb_active_mean,cpu_power_sum_w_mean,other_s,n_runs
4096,1,1,0.008466,0.0011928,0.11508,0.1247388,33.53,33.53,,0.79,,0.06599276791584484,25.0,0.005095332018408941,2.0,54606.0,3.5219298245614037,0.2719298245614035,21441.719298245614,232.5616176950702,33.4052612,1
4096,1,8,0.008472,0.0,0.096196,0.10466800000000001,34.31,34.31,,7.45,,0.04906771344455348,25.0,0.004579653254824992,1.75,52120.0,3.409090909090909,0.3181818181818182,20922.136363636364,232.5705180840665,34.205332000000006,1
4096,1,64,0.008476,0.0,0.091111,0.099587,38.36,38.36,,63.22,,0.05108836907082521,20.25,0.0050357374918778425,2.0,44570.0,3.93125,0.3875,20572.1,232.67914456662356,38.260413,1
4096,1,128,0.011643,0.0,0.090947,0.10259,43.21,43.21,,126.04,,0.05097631241997439,25.0,0.0035211267605633804,2.0,51152.0,3.703488372093023,0.2558139534883721,19559.976744186046,232.80333365139953,43.10741,1
4096,1,256,0.019043,0.0,0.10364,0.122683,52.06,52.06,,223.63,,0.05042613636363636,15.0,0.0029198232323232325,2.0,51636.0,3.328125,0.19270833333333334,21853.875,232.2195274208712,51.937317,1
4096,8,1,0.033926,0.0041341,0.11862199999999999,0.1566821,43.24,43.24,,6.05,,0.0766206675224647,25.0,0.012114890885750964,7.0,55590.0,3.9139344262295084,0.6188524590163934,20857.803278688523,232.8297591054313,43.083317900000004,1
4096,8,8,0.03605,0.004355,0.10175999999999999,0.14216499999999999,43.57,43.57,,56.34,,0.06433645463351631,25.0,0.010655473038424281,7.0,53752.0,4.427777777777778,0.7333333333333333,19695.6,232.6147568690096,43.427835,1
4096,8,64,0.051886,0.0042012,0.114258,0.1703452,72.94,72.94,,400.26,,0.06562962962962963,25.0,0.011703703703703704,7.5,53302.0,4.3431372549019605,0.7745098039215687,21390.0,233.0354622863877,72.7696548,1
4096,8,128,0.079318,0.0027511,0.145714,0.22778310000000002,107.95,107.95,,635.41,,0.05241824677109096,25.0,0.003572410002748008,2.0,54692.0,4.3352272727272725,0.29545454545454547,23561.727272727272,233.11784870041038,107.7222169,1
4096,8,256,0.138374,0.00371,0.20182899999999998,0.34391299999999997,173.06,173.06,,912.79,,0.05550816475749452,21.5,0.010297343407262979,6.75,53468.0,4.744791666666667,0.8802083333333334,20481.958333333332,232.81382173174876,172.71608700000002,1
4096,64,1,0.0613359,0.005837,0.13782799999999998,0.20500089999999999,87.42,87.42,,41.51,,0.06443672169128294,25.0,0.012742542716478424,7.25,55898.0,3.836206896551724,0.7586206896551724,21245.41379310345,233.12298794142978,87.2149991,1
4096,64,8,0.0782969,0.0069828,0.133943,0.2192227,117.47999999999999,117.47999999999999,,342.75,,0.054238894907908994,25.0,0.005958829902491874,3.0,54500.0,4.551136363636363,0.5,20976.272727272728,233.33720274267276,117.26077729999999,1
4096,64,64,0.28359,0.0061372,0.50728,0.7970071999999999,349.09000000000003,349.09000000000003,,668.6533333333333,,0.07501810938065918,22.75,0.007107931908728721,2.0,54694.0,6.47265625,0.61328125,27116.4375,234.02105714800794,348.29299280000004,1
4096,64,128,0.5279039999999999,0.0090092,0.93262,1.4695331999999999,592.76,592.76,,782.162,,0.08084156406440265,24.25,0.0069341090515491815,2.25,54480.0,8.184931506849315,0.702054794520548,29506.630136986303,234.70868288748488,591.2904668,1
4096,64,256,1.01757,0.009196,1.6948500000000002,2.721616,1123.88,1123.88,,872.89625,,0.09004181913225301,25.0,0.010019167102282628,8.25,53076.0,8.833333333333334,0.9829059829059829,34078.41025641026,234.9439046009878,1121.158384,1
4096,128,1,0.068792,0.008168,0.136568,0.213528,137.39,137.39,,83.06,,0.057310469314079425,25.0,0.005157297576070139,2.75,54414.0,3.419230769230769,0.3076923076923077,21463.784615384615,233.41621703437661,137.176472,1
4096,128,8,0.108814,0.0082541,0.160074,0.2771421,200.9,200.9,,572.87,,0.04366635902168897,25.0,0.0035186894323950163,2.25,53076.0,4.114130434782608,0.33152173913043476,19596.478260869564,233.44255616689597,200.6228579,1
4096,128,64,0.5315089,0.010875099999999999,0.94446,1.486844,665.61,665.61,,775.708,,0.07809165097300691,25.0,0.007062146892655367,2.25,54598.0,7.585365853658536,0.6859756097560976,30947.170731707316,234.82995453409941,664.123156,1
4096,128,128,1.028079,0.0139951,1.827535,2.8696091,1174.21,1174.21,,775.716,,0.08397855866587255,24.75,0.009869820471369013,7.75,52596.0,8.582608695652175,1.008695652173913,34587.72173913044,235.17338016112788,1171.3403909,1
4096,128,256,2.00963,0.0154478,3.3625499999999993,5.387627799999999,2228.37,2228.37,,883.881875,,0.09050764247393461,25.0,0.009451867597935013,8.25,52284.0,10.336705202312139,1.079479768786127,37620.40462427746,234.78788325614178,2222.9823722,1
4096,256,1,0.08174100000000001,0.0073008000000000005,0.143747,0.23278880000000002,241.87,241.87,,159.91,,0.05537529742591391,24.0,0.011139952411853775,10.0,54498.0,4.19672131147541,0.8442622950819673,22287.114754098362,233.28798003434952,241.6372112,1
4096,256,8,0.17461000000000002,0.007331099999999999,0.3179,0.49984110000000004,378.0,378.0,,443.125,,0.05695980340530104,23.25,0.009566438476391083,8.0,54768.0,6.122641509433962,1.028301886792453,26317.849056603773,233.93256677126922,377.5001589,1
