name ;nb cores;CLB %;BRAM %;DSP %;occupancy CPU %;occupancy FPGA;total occupancy;average latency (s);power at rest W;power in computing W;Ec cost (J);overhead Ec (J)
FFT_full_cpu_1core;1;;;;25;0;12,5;6,54;3,31;3,47;22,69;1,05
FFT_full_cpu_2core;2;;;;50;0;25;6,54;3,57;3,74;24,46;1,11
FFT_full_cpu_4core;4;;;;100;0;50;6,54;3,58;3,74;24,46;1,05
FFT_full_cpu_8core;8;;;;200;0;100;;;;;

FFT_split_full_cpu_1core;1;;;;25;0;12,5;6,57;3,57;3,73;24,51;1,05
FFT_split_full_cpu_2core;2;;;;50;0;25;6,53;3,3;3,48;22,72;1,18
FFT_split_full_cpu_4core;4;;;;100;0;50;;;;;
FFT_split_full_cpu_8core;8;;;;200;0;100;;;;;

FFT-1D_line_col;1;39,15;69,13;3,85;25;37,38;31,19;6,89;3,39;3,59;24,74;1,38
FFT-1D_line;1;21,36;37,15;1,92;25;20,14;22,57;6,77;3,31;3,52;23,83;1,42
FFT-1D_col;1;21,22;37,15;1,92;25;20,1;22,55;6,89;3,3;3,5;24,12;1,38
FFT-1-2;1;;;;25;0;25;;;;0;0
FFT-1;1;;;;25;0;25;;;;0;0
FFT-2;1;;;;25;0;25;;;;0;0

FFT-1D_line_col;2;39,15;69,19;3,85;50;37,4;43,7;6,48;3,38;3,57;23,13;1,23
FFT-1D_line;2;21,36;37,15;1,92;50;20,14;35,07;6,54;3,33;3,52;23,02;1,24
FFT-1D_col;2;21,22;37,15;1,92;50;20,1;35,05;6,5;3,31;3,51;22,82;1,3
FFT-1-2;2;;;;50;0;50;;;;0;0
FFT-1;2;;;;50;0;50;;;;0;0
FFT-2;2;;;;50;0;50;;;;0;0

FFT-1D_line_col;4;39,15;69,19;3,85;100;37,4;68,7;6,46;3,39;3,56;23;1,1
FFT-1D_line;4;;;;100;0;100;;;;;
FFT-1D_col;4;;;;100;0;100;;;;;
FFT-1-2;4;;;;100;0;100;;;;;
FFT-1;4;;;;100;0;100;;;;;
FFT-2;4;;;;100;0;100;;;;;
